title_i,title_j,cosine_similarity
Global shape processing: Which parts form the whole?,Orientation tuning of curvature adaptation reveals both curvature-polarity-selective and non-selective mechanisms,0.668832
Global shape processing: Which parts form the whole?,Chromatic variations suppress suprathreshold brightness variations,0.579916
Global shape processing: Which parts form the whole?,"Colour Pools, Brightness Pools, Assimilation, and the Spatial Resolving Power of the Human Colour-Vision System",0.491592
Global shape processing: Which parts form the whole?,On the Interference of Task-Irrelevant Hue Variation on Texture Segmentation,0.432964
Global shape processing: Which parts form the whole?,"Border effects on brightness: A review of findings, models and issues",0.589133
Global shape processing: Which parts form the whole?,"Shape recognition: Convexities, concavities and things in between",0.592255
Global shape processing: Which parts form the whole?,The role of co-circularity of local elements in texture perception,0.61225
Global shape processing: Which parts form the whole?,Light-dark asymmetries in the Craik-Cornsweet-O'Brien illusion and a new model of brightness coding,0.586211
Global shape processing: Which parts form the whole?,Aftereffect of perceived regularity,0.631661
Global shape processing: Which parts form the whole?,Why do shape aftereffects increase with eccentricity?,0.766328
Global shape processing: Which parts form the whole?,Local and global components of texture-surround suppression of contour-shape coding,0.736447
Global shape processing: Which parts form the whole?,Chromatic properties of texture-shape and of texture-surround suppression of contour-shape mechanisms,0.66401
Global shape processing: Which parts form the whole?,Size and shape-frequency after-effects: same or different mechanism?,0.76065
Global shape processing: Which parts form the whole?,Global shape processing involves feature-selective and feature-agnostic coding mechanisms,0.81763
Global shape processing: Which parts form the whole?,Digitized Images: What Type of Grey Scale Should One Use?,0.386914
Global shape processing: Which parts form the whole?,Corner effect in induced hue: Evidence for chromatic band-pass filters,0.493918
Global shape processing: Which parts form the whole?,Visual adaptation to symmetry,0.575467
Global shape processing: Which parts form the whole?,Visual cortex responses to different texture-defined boundaries: An fMRI study,0.539584
Global shape processing: Which parts form the whole?,Spatial properties of texture-surround suppression of contour-shape coding,0.676562
Global shape processing: Which parts form the whole?,Illusions of colour and shadow,0.45244
Global shape processing: Which parts form the whole?,Global not local motion direction tuning of curvature encoding mechanisms,0.692855
Global shape processing: Which parts form the whole?,Modelling Visual Detection: Luminance Response Non-linearity and Internal Noise,0.456765
Global shape processing: Which parts form the whole?,Model for the detection of line signals in visual noise,0.434417
Global shape processing: Which parts form the whole?,More than a simple curve: Evidence for mechanisms which are selective for curves containing inflections,0.747635
Global shape processing: Which parts form the whole?,Motion direction and temporal frequency tuning of texture-surround capture of contour-shape,0.670433
Global shape processing: Which parts form the whole?,"Texture dominates saliency in suprathreshold combinations of texture, colour and luminance.",0.561096
Global shape processing: Which parts form the whole?,Spatiochromatic statistics of natural scenes: First- and second-order information and their correlational structure,0.423318
Global shape processing: Which parts form the whole?,The common perceptual metric for human discrimination of number and density,0.537797
Global shape processing: Which parts form the whole?,Spatial integration of orientation-defined texture,0.638559
Global shape processing: Which parts form the whole?,Effect of the number of grey levels on the detectability of a simple line signal in visual noise,0.395052
Global shape processing: Which parts form the whole?,An Orientation Anisotropy in Induced Brightness,0.565004
Global shape processing: Which parts form the whole?,On the mechanisms for contour-shape after-effects,0.729517
Global shape processing: Which parts form the whole?,"Effect of Pixel Height, Display Height, and Vertical Resolution on the Detection of a Simple Vertical Line Signal in Visual Noise",0.342857
Global shape processing: Which parts form the whole?,The Binocular Summation of Chromatic Contrast,0.491676
Global shape processing: Which parts form the whole?,Luminance-contrast properties of contour-shape processing revealed through adaptation,0.746954
Global shape processing: Which parts form the whole?,Multiplication of 1st-stage inputs to curvature detectors,0.645971
Global shape processing: Which parts form the whole?,Orientation- and frequency-modulated textures at low depths of modulation are processed by off-orientation and off-frequency texture mechanisms,0.546928
Global shape processing: Which parts form the whole?,Ecological validity determines the impact of second-order information on perceptual performance,0.602821
