title_i,title_j,cosine_similarity
X-ray reflection by photoionized accretion discs,X-ray reflection in the NLS1 1H 0707-495,0.740261
X-ray reflection by photoionized accretion discs,X-ray reflection in Galactic Black Hole Candidates: smeared edge profiles and resonant Auger destruction,0.665473
X-ray reflection by photoionized accretion discs,X-ray line emission from photo-ionized gas in a Seyfert nucleus,0.656232
X-ray reflection by photoionized accretion discs,Models of the hard X-ray spectrum of AM Herculis and implications for the accretion rate,0.761554
X-ray reflection by photoionized accretion discs,The effect of photoelectric absorption on the Comptonized X-ray spectrum of an accreting white dwarf,0.749845
X-ray reflection by photoionized accretion discs,Optically thick X-ray transfer - The shell game,0.587527
X-ray reflection by photoionized accretion discs,Noise environment in the NLR transonic windtunnel HST,0.121064
X-ray reflection by photoionized accretion discs,A comprehensive range of X-ray ionized reflection models,0.801408
X-ray reflection by photoionized accretion discs,"Stratigraphic notes, 1983",0.146409
X-ray reflection by photoionized accretion discs,X-ray spectra including reflection off matter within the innermost stable orbit,0.657049
X-ray reflection by photoionized accretion discs,Ionized Iron Lines in X-ray Reflection Spectra,0.857926
X-ray reflection by photoionized accretion discs,An explanation for the soft X-ray excess in AGN (Conference proceedings version),0.680386
X-ray reflection by photoionized accretion discs,Experimental study of p.bar.n annihilations between 1.0 and 1.6 GeV/c,0.264925
X-ray reflection by photoionized accretion discs,Comptonization of X-Rays by Low Temperature Electrons,0.581748
X-ray reflection by photoionized accretion discs,Optically-Thick X-Ray Transfer: The Shell Game.,0.587527
The spectra of accretion discs in active galactic nuclei,The Comptonization of iron X-ray features in compact X-ray sources,0.48219
The spectra of accretion discs in active galactic nuclei,"Iron K fluorescent lines from relativistic, ionized discs",0.630323
The spectra of accretion discs in active galactic nuclei,Soft X-ray emission lines from photoionized accretion discs: constraints on their strength and width,0.816656
The spectra of accretion discs in active galactic nuclei,Spectral formation in compact X-ray sources,0.639333
The spectra of accretion discs in active galactic nuclei,X-ray photoionized accretion discs: UV and X-ray continuum spectra and polarization,0.726431
The spectra of accretion discs in active galactic nuclei,Fe Kα emission from photoionized slabs: the impact of the iron abundance,0.649621
The spectra of accretion discs in active galactic nuclei,A complete relativistic ionized accretion disc in Cygnus X-1,0.762542
The spectra of accretion discs in active galactic nuclei,Time-dependent X-ray spectra of Compton-cooled plasmas,0.702218
The spectra of accretion discs in active galactic nuclei,The spectra of accretion discs in low-mass X-ray binaries,0.75112
The spectra of accretion discs in active galactic nuclei,Saturation and beaming in astrophysical masers,0.36483
The spectra of accretion discs in active galactic nuclei,Applications of linear pulsation theory to the Cepheid mass problem and the double-mode Cepheids,0.505901
The spectra of accretion discs in active galactic nuclei,"Finite, two-component isothermal spheres. I - Equilibrium models",0.269009
The spectra of accretion discs in active galactic nuclei,The evidence against Comptonization as a mechanism to explain the Fe Kα line profile in MCG-6-30-15,0.684006
The spectra of accretion discs in active galactic nuclei,Fe emission and ionized excess absorption in the luminous quasar 3C 109 with XMM-Newton,0.76313
