title_i,title_j,cosine_similarity
Positivity bounds on massive vectors,"Nucleon-antinucleon annihilation at large<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:msub><mml:mi>N</mml:mi><mml:mi>c</mml:mi></mml:msub></mml:math>",0.433445
Positivity bounds on massive vectors,"Is It Possible To Embed A 4D, N = 4 Supersymmetric Vector Multiplet",0.119065
Positivity bounds on massive vectors,"Holography, Supergravity, and the Weak Gravity Conjecture",0.414472
Positivity bounds on massive vectors,Repulsive black holes and higher-derivatives,0.43221
Positivity bounds on massive vectors,Analytic bootstrap of mixed correlators in the $\boldsymbol{O(n)}$ CFT,0.444478
Positivity bounds on massive vectors,Adding subtractions: Comparing the impact of different Regge behaviors,0.693235
Positivity bounds on massive vectors,Bootstrapping supersymmetric (matrix) quantum mechanics,0.488746
Positivity bounds on massive vectors,Holographic duality from Howe duality: Chern-Simons gravity as an ensemble of code CFTs,0.364651
Positivity bounds on massive vectors,Quantum bootstrap for central potentials,0.477163
Positivity bounds on massive vectors,Report on 2310.06888v1,0.709966
NUT charge weak gravity conjecture from dimensional reduction,Higher-derivative corrections to black hole entropy at zero temperature,0.535749
NUT charge weak gravity conjecture from dimensional reduction,Analytic bootstrap of mixed correlators in the O(n) CFT,0.252917
NUT charge weak gravity conjecture from dimensional reduction,Averaging over codes and an SU(2) modular bootstrap,0.353079
NUT charge weak gravity conjecture from dimensional reduction,Electric shocks: bounding Einstein-Maxwell theory with time delays on boosted RN backgrounds,0.438059
NUT charge weak gravity conjecture from dimensional reduction,Causality bounds from charged shockwaves in 5d,0.5579
NUT charge weak gravity conjecture from dimensional reduction,"Is it possible to embed a 4D, $ \mathcal{N} $ = 4 supersymmetric vector multiplet within a completely off-shell adinkra hologram?",0.333576
NUT charge weak gravity conjecture from dimensional reduction,Interplay of the sign problem and the infinite volume limit: Gauge theories with a theta term,0.47903
NUT charge weak gravity conjecture from dimensional reduction,Bounding violations of the weak gravity conjecture,0.634086
NUT charge weak gravity conjecture from dimensional reduction,The Entropy Shift and Extremality Shift at Zero Temperature,0.530888
NUT charge weak gravity conjecture from dimensional reduction,The Weyl Anomaly from the 6D Superconformal Index,0.406379
NUT charge weak gravity conjecture from dimensional reduction,Averaging over codes and an $SU(2)$ modular bootstrap,0.34545
NUT charge weak gravity conjecture from dimensional reduction,Bootstrapping time-evolution in quantum mechanics,0.165604
NUT charge weak gravity conjecture from dimensional reduction,"Nucleon-antinucleon annihilation at large<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:msub><mml:mi>N</mml:mi><mml:mi>c</mml:mi></mml:msub></mml:math>",0.296961
NUT charge weak gravity conjecture from dimensional reduction,"Is It Possible To Embed A 4D, N = 4 Supersymmetric Vector Multiplet",0.056749
NUT charge weak gravity conjecture from dimensional reduction,"Holography, Supergravity, and the Weak Gravity Conjecture",0.684273
NUT charge weak gravity conjecture from dimensional reduction,Repulsive black holes and higher-derivatives,0.64831
NUT charge weak gravity conjecture from dimensional reduction,Analytic bootstrap of mixed correlators in the $\boldsymbol{O(n)}$ CFT,0.259849
NUT charge weak gravity conjecture from dimensional reduction,Adding subtractions: Comparing the impact of different Regge behaviors,0.292977
NUT charge weak gravity conjecture from dimensional reduction,Bootstrapping supersymmetric (matrix) quantum mechanics,0.352679
NUT charge weak gravity conjecture from dimensional reduction,Holographic duality from Howe duality: Chern-Simons gravity as an ensemble of code CFTs,0.388152
NUT charge weak gravity conjecture from dimensional reduction,Quantum bootstrap for central potentials,0.317176
NUT charge weak gravity conjecture from dimensional reduction,Report on 2310.06888v1,0.398695
Higher-derivative corrections to black hole entropy at zero temperature,Analytic bootstrap of mixed correlators in the O(n) CFT,0.328428
Higher-derivative corrections to black hole entropy at zero temperature,Averaging over codes and an SU(2) modular bootstrap,0.403303
Higher-derivative corrections to black hole entropy at zero temperature,Electric shocks: bounding Einstein-Maxwell theory with time delays on boosted RN backgrounds,0.473426
Higher-derivative corrections to black hole entropy at zero temperature,Causality bounds from charged shockwaves in 5d,0.54077
